canonical_smiles,standard_value
COCCOc1nc(C2CC2)c(C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)s1,2.2
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,-0.79
Cn1ccc(Nc2ncnc3ccc(Oc4ncccc4CO)cc23)n1,1.7
O=C(NCCCCCCNC(=O)NS(=O)(=O)c1cccc(Cl)c1)NS(=O)(=O)c1cccc(Cl)c1,-0.93
CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1cc2c(cn1)OCCO2,0.63
Cn1cc(C(=O)N2[C@H]3Cc4ccccc4[C@@H]2CNC3=O)c2cc[nH]c2c1=O,0.7
CCN(C(=O)NCCCl)C1CCCCC1,0.84
Cc1cc(C(=O)Nc2c(F)cccc2F)nn1Cc1cc(Cl)ccc1OCc1ccccc1,3.7
O=C(O)c1cc2[nH]c(-c3ccccc3)c(C3CCCCC3)c2s1,3.4
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCNC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,3.08
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCOC(=O)C2CCCCC2)C(C)(C)C)cc1,1.1
O=S(=O)(c1ccc2c(c1)CCNCC2)N1CC(Oc2cccc(Cl)c2)C1,1.7
CC1Nc2ncccc2S(=O)(=O)N1,0.35
Cc1cc(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)[nH]n1,2.53
CCCCCC[C@H]1OC[C@@H](C)NC(=O)[C@H](CNCCCN)NC(=O)[C@H](CN)NC(=O)[C@H](C2CCCCCC2)NC(=O)[C@H](CCC)N(C)C(=O)[C@@H]1C,1.1
N#Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2ncc3c(N)n[nH]c3n2)cc1,1.13
CC(C)CCc1sc(NC(=O)c2cc(NC(=O)c3cc(NC(=N)c4ccc(Cl)cc4)cn3C)cn2C)nc1C(=O)NCCCN(C)C,3.13
CCNC(=O)Nc1sc2ncccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1,2.08
CC(C)NCC(O)COc1cc(O)cc2ccccc12,0.57
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(F)cc54)CC3)nc2N1,0.9
Cc1cc2c(-c3cccs3)cnc(N[C@@H]3CCN(C)C[C@H]3C(=O)NC3CCCCC3)c2[nH]c1=O,4.61
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(OC)(C(F)(F)F)C(F)(F)F)cc2)cc1,4.0
C[C@@H]1Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c2CN1c1ccnc2[nH]ccc12,2.3
O=C(Nc1cccc(C(=O)NC2CC2)c1)c1ccc(=O)n(Cc2ccccc2)c1,3.3
CN(c1ccn(C)n1)c1cnc(NCc2c(F)ccc3c2CCO3)n2cnnc12,1.8
O=C(O)C[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1,1.26
COCc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc(C)c(C)o3)n2)n1,2.8
CC(C)n1nc(Cn2c(=O)c3ccccc3n2CCCCO)c2ccccc21,2.9
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,4.4
CCOC(=O)c1ncn2c1CN(CC)C(=O)c1cc(F)ccc1-2,1.65
COCCN(Cc1ccc(F)cc1)S(=O)(=O)c1ccccc1OC(F)(F)F,3.8
CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cc(S(C)(=O)=O)n(CC(C)=O)n1,3.79
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,2.4
CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Nc1ccccc1CCS(C)(=O)=O,1.7
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,2.3
CCc1ccc(Nc2cc(C)nc3ncnn23)cc1,2.6
